Player,dob,age,battingStyles,bowlingStyles
Q de Kock,17/12/1992,33.5,lhb,Na
K Gowtham,20/10/1988,37.6,rhb,ob
MJ Henry,14/12/1991,34.5,rhb,rfm
DJ Hooda,19/4/1995,31.1,rhb,ob
S Joseph,31/8/1999,26.8,lhb,rf
AA Kulkarni,15/2/2005,21.3,rhb,rm
PN Mankad,23/4/1994,32.1,rhb,rm
KR Mayers,8/9/1992,33.7,lhb,rm
A Mishra,24/11/1982,43.5,rhb,lb
Mohsin Khan,15/7/1998,27.9,lhb,lmf
Naveen-ul-Haq,23/9/1999,26.7,rhb,rmf
D Padikkal,7/7/2000,25.9,lhb,ob
KH Pandya,24/3/1991,35.2,lhb,sla
N Pooran,2/10/1995,30.7,lhb,ob
Ravi Bishnoi,5/9/2000,25.7,rhb,lbg
M Siddharth,3/7/1998,27.9,rhb,sla
MP Stoinis,16/8/1989,36.8,rhb,rm
AJ Turner,25/1/1993,33.3,rhb,ob
MP Yadav,17/6/2002,24.0,rhb,rf
Yash Thakur,28/12/1998,27.4,rhb,rfm
Yudhvir Singh,13/9/1997,28.7,rhb,rmf
Shivam Mavi,26/11/1998,27.5,rhb,rfm
DJ Willey,28/2/1990,36.3,lhb,lfm
MA Wood,11/1/1990,36.4,rhb,rf
HH Pandya,11/10/1993,32.6,rhb,rmf
D Brevis,29/4/2003,23.1,rhb,lb
JJ Bumrah,6/12/1993,32.5,rhb,rf
PP Chawla,24/12/1988,37.4,lhb,lb
G Coetzee,2/10/2000,25.7,rhb,rf
TH David,16/3/1996,30.2,rhb,ob
HM Desai,4/10/1999,26.7,rhb,Na
S Gopal,4/9/1993,32.7,rhb,lb
Ishan Kishan,18/7/1998,27.9,lhb,Na
A Kamboj,6/12/2000,25.5,rhb,rm
K Kartikeya,26/12/1997,28.4,rhb,sla
A Madhwal,25/11/1993,32.5,rhb,rmf
KT Maphaka,8/4/2006,20.1,lhb,lm
Mohammad Nabi,1/1/1985,41.4,rhb,ob
SZ Mulani,13/3/1997,29.2,lhb,sla
Naman Dhir,31/12/1999,26.4,rhb,ob
SS Sharma,28/11/1998,27.5,lhb,lbg
RG Sharma,30/4/1987,39.1,rhb,ob
R Shepherd,26/11/1994,31.5,rhb,rfm
AS Tendulkar,24/9/1999,26.7,lhb,lmf
N Thushara,6/8/1994,31.8,rhb,rmf
NT Tilak Varma,8/11/2002,23.6,lhb,ob
N Wadhera,4/9/2000,25.7,lhb,lb
L Wood,2/8/1995,30.8,lhb,lfm
SA Yadav,14/9/1990,35.7,rhb,rm
JP Behrendorff,20/4/1990,36.1,rhb,lfm
D Madushanka,18/9/2000,25.7,rhb,lfm
Vishnu Vinod,2/12/1993,32.5,rhb,Na
S Dhawan,5/12/1985,40.5,lhb,ob
Arshdeep Singh,5/2/1999,27.3,lhb,lmf
JM Bairstow,26/9/1989,36.7,rhb,rm
RD Chahar,4/8/1999,26.8,rhb,lbg
SM Curran,3/6/1998,28.0,lhb,lmf
R Dhawan,19/2/1990,36.3,rhb,rmf
NT Ellis,22/9/1994,31.7,rhb,rfm
Harpreet Brar,16/9/1995,30.7,lhb,sla
Harpreet Singh,11/8/1991,34.8,lhb,rm
V Kaverappa,25/2/1999,27.3,rhb,rfm
LS Livingstone,4/8/1993,32.8,rhb,ob
HV Patel,23/11/1990,35.5,rhb,rm
Prabhsimran Singh,10/8/2000,25.8,rhb,Na
Prince Choudhary,29/9/1999,26.7,rhb,lb
K Rabada,25/5/1995,31.0,lhb,rf
RR Rossouw,9/10/1989,36.6,lhb,ob
AR Sharma,15/9/1998,27.7,rhb,Na
JM Sharma,22/10/1993,32.6,rhb,Na
Shashank Singh,21/11/1991,34.5,rhb,rm
Shivam Singh,25/11/1995,30.5,rhb,ob
Sikandar Raza,24/4/1986,40.1,rhb,ob
VP Singh,18/6/1998,28.0,rhb,ob
A Taide,26/4/2000,26.1,lhb,sla
T Thyagarajan,15/11/1995,30.5,lhb,sla
CR Woakes,2/3/1989,37.2,rhb,rfm
SV Samson,11/11/1994,31.6,rhb,Na
Abid Mushtaq,17/1/1997,29.4,lhb,sla
R Ashwin,17/9/1986,39.7,rhb,ob
Avesh Khan,13/12/1996,29.5,rhb,rfm
TA Boult,22/7/1989,36.9,rhb,lfm
N Burger,11/8/1995,30.8,lhb,lfm
JC Buttler,8/9/1990,35.7,rhb,Na
YS Chahal,23/7/1990,35.9,rhb,lbg
SB Dubey,27/8/1994,31.8,lhb,ob
D Ferreira,21/7/1998,27.9,rhb,ob
SO Hetmyer,26/12/1996,29.4,lhb,Na
YBK Jaiswal,28/12/2001,24.4,lhb,lb
DC Jurel,21/1/2001,25.4,rhb,Na
T Kohler-Cadmore,19/8/1994,31.8,rhb,ob
TK Kotian,16/10/1998,27.6,rhb,ob
KA Maharaj,7/2/1990,36.3,rhb,sla
R Parag,10/11/2001,24.6,rhb,lb
R Powell,23/7/1993,32.9,rhb,rmf
KS Rathore,9/10/2002,23.6,lhb,Na
NA Saini,23/11/1992,33.5,rhb,rf
Sandeep Sharma,18/5/1993,33.0,rhb,rm
KR Sen,22/10/1996,29.6,rhb,rf
M Prasidh Krishna,19/2/1996,30.3,rhb,rfm
A Zampa,31/3/1992,34.2,rhb,lbg
F du Plessis,13/7/1984,41.9,rhb,lb
Akash Deep,15/12/1996,29.5,rhb,rfm
Anuj Rawat,17/10/1999,26.6,lhb,Na
MS Bhandage,5/10/1998,27.7,lhb,rmf
SD Chauhan,27/5/2000,26.0,lhb,ob
TK Curran,12/3/1995,31.2,rhb,rfm
MJ Dagar,11/11/1996,29.6,rhb,sla
LH Ferguson,13/6/1991,35.0,rhb,rf
C Green,3/6/1999,27.0,rhb,rfm
WG Jacks,21/11/1998,27.5,rhb,ob
AS Joseph,20/11/1996,29.5,rhb,rf
KD Karthik,1/6/1985,41.0,rhb,ob
V Kohli,5/11/1988,37.6,rhb,rm
MK Lomror,16/11/1999,26.5,lhb,sla
GJ Maxwell,14/10/1988,37.6,rhb,ob
Mohammed Siraj,13/3/1994,32.2,rhb,rf
RM Patidar,1/6/1993,33.0,rhb,ob
SS Prabhudessai,6/12/1997,28.5,rhb,rm
Rajan Kumar,8/7/1996,29.9,lhb,lmf
H Sharma,6/6/1998,28.0,rhb,lb
KV Sharma,23/10/1987,38.6,lhb,lbg
Swapnil Singh,22/1/1991,35.4,rhb,sla
RJW Topley,21/2/1994,32.3,rhb,lfm
V Vyshak,31/1/1997,29.3,rhb,rm
Yash Dayal,13/12/1997,28.5,rhb,lmf
PJ Cummins,8/5/1993,33.1,rhb,rf
Abdul Samad,28/10/2001,24.6,rhb,lb
Abhishek Sharma,4/9/2000,25.7,lhb,sla
MA Agarwal,16/2/1991,35.3,rhb,ob
Akash Singh,26/4/2002,24.1,rhb,lmf
Anmolpreet Singh,28/3/1998,28.2,rhb,ob
Fazalhaq Farooqi,22/9/2000,25.7,rhb,lfm
TM Head,29/12/1993,32.4,lhb,ob
M Jansen,1/5/2000,26.1,rhb,lmf
H Klaasen,30/7/1991,34.8,rhb,ob
B Kumar,5/2/1990,36.3,rhb,rm
M Markande,11/11/1997,28.6,rhb,lb
AK Markram,4/10/1994,31.7,rhb,ob
T Natarajan,4/4/1991,35.2,lhb,lm
K Nitish Kumar Reddy,26/5/2003,23.0,rhb,rmf
GD Phillips,6/12/1996,29.5,rhb,ob
Sanvir Singh,12/10/1996,29.6,rhb,rm
Shahbaz Ahmed,11/12/1994,31.5,lhb,sla
J Subramanyan,16/9/1999,26.7,rhb,lb
RA Tripathi,2/3/1991,35.2,rhb,rm
Umran Malik,22/11/1999,26.5,rhb,rf
JD Unadkat,18/10/1991,34.6,rhb,lm
V Viyaskanth,5/12/2001,24.5,rhb,lb
Washington Sundar,5/10/1999,26.7,lhb,ob
UD Yadav,8/10/1996,29.6,rhb,ob
PW Hasaranga,29/7/1997,28.8,rhb,lb
